proselytize 使改变宗教信仰
protean 多变的，多才多艺的
provisional 临时的，暂时性的，暂定的
quixotic 幻想的，不切实际的，空想的
quotidian 日常的，普通的，寻常的
ramification 决定，计划，后果，影响
rancor 怨恨
rash 轻率的，鲁莽的，冲动的
rebuff 拒绝，回绝
recondite 知识或学问深奥的，艰涩的，艰深的
rehabilitate 洗心革面
reiterate 反复，重申
relinquish 移交，交出
renegade 叛徒，变节者，改变宗教信仰或政见者
renounce 正式放弃
repetitious 反复的，重复乏味的
requisite 必须的，必备的
recent 沉默寡言的，不与人交谈的
retrograde 倒退的，后退的，退化的
revelation 揭露，披露
rile 激怒，使恼怒
rudimentary 初始的，未发展的
sabotage 妨碍，破坏
sacrosanct 神圣不可侵犯的
salutary 有益的，有帮助的
scant 一丁点的，微小的，不足的
shrewd 精明的，敏锐的，精于算盘的
shun 刻意避开，有意回避
slipshod 马虎的，草率的
smug 自大的，自鸣得意的
snobbish 自大的
solace 安慰，慰藉
somnolence 嗜睡
sordid 肮脏的，令人不快的
spartan 简朴的，清苦的
specious 似是而非的，欺骗性的
spurious 形似而实非的，虚假的，伪造的
spurn 拒绝，摒弃
static 静止的，不变化的
strand 股，缕
stratify 使分成各种阶级
strenuous 费力的，繁重的，艰苦的
stringent 严格的，严厉的
subordinate 次要的，其次的
subtle 不易察觉的，不明显的，微妙的
subvert 颠覆，破坏
