adjuration 恳请，请愿
affiliate 隶属于，并入
alter 改变，变更，更改
animadversion 批评，非难
antecedent 先前的，早先的
antidote 解药，解决办法
apathetic 漠不关心的，不感兴趣的
ape 模仿，学样子
apolitical 不关心政治，对政治不感兴趣
appease 平息，安抚，抚慰
augment 增加，加大，加强，提高
succinct 简洁的，明了的，简要的
supercilious 自高自大的，目空一切的，傲慢的
superfluous 多余的，过剩的，不必要的
supplant 替代，取代
suppress 制止，阻止，抑制
surfeit 过量，过多
taint 玷污，损害，败坏
tantalizing 激起，挑逗
tantamount 几乎是，简直是，无异于
tedious 枯燥的，乏味的，令人生厌的
temerity 鲁莽，冒失，无礼
tenable 有道理的，站得住脚的
tenacious 顽强的，坚韧不拔的
tenuous 脆弱的，站不住脚的，牵强的
terse 评论简短的，短促的
thwart 使受挫，阻碍，阻挠
torpor 缺乏兴趣
transitory 短暂的，转瞬即逝的，昙花一现的
transparent 透明的，清澈的
treacherous 背叛的，不可信任的
trepidation 惊恐，惶恐，焦虑不安
trite 陈腐的，老一套的
truculent 暴躁的，好斗的
truncate 缩短
unassailable 坚不可摧的，无懈可击的
undergird 底部加固，支撑，支持
unremitting 未停止的，未减弱的，不懈的
unruly 难控制的，难管束的
untenable 站不住的，经不起反驳
unwonted 不习惯的，不寻常的
upbeat 达观的，乐观的，充满希望的
variegated 多种多样的，杂色的
vestige 残余，残留部分，遗迹
vex 使恼火
vile 丑陋的
vindicate 证明无辜，使无罪
vociferous 喧哗的，大吵大闹的
